Longitude,Latitude
-84.26856,37.32355
-93.50845,31.5831
-92.914,32.0199
-91.76733,30.74715
-93.4991,31.60641
-71.58914,42.01496
-70.95906,41.74419
-71.42092,42.09091
-73.21289,42.7396
-70.61507,44.34113
-83.60472,42.30472
-85.60028,42.39472
-85.34194,43.235
-86.16861,42.86361
-83.92834,43.92736
-83.58,42.40611
-84.05358,44.36434
-84.7802,41.9773
-84.40335,44.41835
-85.97613,46.18968
-84.425,45.1475
-83.845,44.565
-84.605,45.35665
-86.10172,44.22671
-87.46171,46.60424
-86.21193,46.19183
-86.4565,43.674
-83.4885,45.351
-85.2165,44.1305
-85.92196,44.0559
-83.89001,44.2725
-89.91997,46.3018
-84.88741,43.38621
-82.53918,43.39116
-92.36145,43.80075
-93.02428,47.27147
-92.36145,43.80075
-94.98708,47.43842
-93,47.5
-92.01759,47.4284
-94.27725,45.8
-92.92708,47.83334
-91.97748,47.87965
-93.4303,37.0968
-91.6253,38.28
-92.411,38.305
-93.8232,36.8133
-94.856,39.859
-93.684,37.664
-93.82087,37.87153
-90.79886,37.79465
-91.16042,38.2081
-92.36771,38.9099
-94.60989,36.51627
-94.11218,37.85524
-94.6028,37.84203
-90.23058,37.40025
-93.14626,36.39835
-94.19245,38.5229
-94.59565,39.30745
-94.1057,38.5992
-94.40015,39.60238
-90.83465,37.30427
-94.22043,38.99353
-91.154,36.469
-94.29428,39.502
-91.578,37.422
-94.271,39.2475
-92.05,37.7925
-93.4025,39.1175
-90.5545,38.203
-92.225,38.485
-94.14297,38.46156
-92.52242,37.46392
-90.277,37.0505
-88.864,32.1806
-88.19894,34.60905
-115.3903,47.62167
-114.0717,47.06032
-106.8331,45.0262
-114.0125,45.82285
-112.4554,45.9754
-108.6873,47.66724
-112.9707,45.3705
-113.9818,47.98521
-114.45,47.25335
-115.6545,47.43904
-78.4048,35.5311
-80.0616,35.4449
-77.23759,34.40434
-81.92929,35.88561
-82.05008,35.85107
-82.22121,35.75278
-82.56715,35.41939
-81.03185,35.94647
-77.85507,34.78052
-79.26708,34.5287
-82.488,35.1685
-81.78065,35.6644
-83.52992,35.33783
-79.97967,35.24749
-81.08335,36.0055
-102.701,47.72964
-101.8886,47.71188
-95.92,41.238
-72.33093,43.41549
-74.321,41.08335
-74.68135,40.16465
-74.3249,40.9934
-74.3749,39.7962
-74.85561,40.8192
-74.57013,41.01941
-75.38251,39.70852
-74.36187,39.98216
-74.54086,39.7784
-74.77675,40.45815
-108.87,36.126
-105.7947,33.15405
-108.8676,35.63736
-104.4801,36.9934
-107.3956,36.72065
-107.6021,36.7474
-109.0612,36.39135
-108.7608,36.81315
-107.9978,35.58565
-108.892,36.08089
-105.9678,36.65339
-108.2034,35.37201
-108.84,36.0605
-105.2526,35.52162
-118.325,37.8583
-78.23962,43.34806
-75.3811,42.32921
-78.54224,43.19501
-73.87915,41.94512
-76.89331,43.27314
-73.73717,41.29873
-73.55858,41.87219
-74.23166,43.46181
-73.34116,43.55915
-78.7492,42.06832
-73.87529,44.22388
-73.40212,43.56058
-77.29253,42.33473
-81.25768,40.77789
-81.33974,41.39803
-81.85331,39.28537
-84.09158,39.74961
-84.79429,39.37509
-84.80138,39.37215
-83.6118,40.6445
-82.1013,39.64193
-82.0101,41.03
-80.57593,40.68935
-81.98721,39.90416
-80.64831,40.77972
-81.17155,41.13356
-84.14493,39.89172
-83.13585,39.20212
-81.96419,41.06648
-83.9374,40.6559
-80.89096,41.42579
-81.5117,40.1218
-81.61014,39.92781
-82.82214,40.5896
-83.51394,39.96627
-81.22075,41.57231
-82.87663,40.50945
-81.18352,40.71737
-81.56232,40.10801
-81.56255,41.2584
-84.36874,39.63662
-80.77592,41.09087
-80.97507,40.95818
-82.14285,38.9264
-81.39331,40.47672
-80.95952,41.81287
-81.60576,41.23739
-84.04518,40.04342
-82.17295,40.61286
-81.08803,40.40192
-82.17295,40.61286
-81.50933,40.10348
-81.31219,40.79438
-84.17227,39.13595
-81.13733,40.40611
-80.84042,40.92344
-82.905,38.965
-83.05098,41.29247
-80.69776,40.94825
-84.10731,38.99484
-80.93864,40.30527
-82.83647,39.6279
-82.35291,39.59607
-82.26463,39.63255
-82.26972,40.8557
-81.62295,41.23925
-98.34056,35.10278
-94.55944,34.59583
-95.80417,36.91528
-96.968,35.86972
-98.13028,35.33389
-95.74556,36.18889
-97.33528,35.27639
-94.7325,34.689
-97.5625,35.24194
-97.07361,33.82444
-98.62833,34.62944
-97.00389,35.68583
-96.21,34.25
-95.94727,35.2933
-96.12164,36.62116
-96.36707,36.03501
-96.63857,34.21174
-98.61497,34.76134
-94.38045,34.4082
-94.66875,35.0271
-94.71512,36.94679
-94.4435,34.021
-97.67827,35.53925
-124.3,42.07
-124.3,42.08
-121.9139,45.33175
-122.1884,45.55364
-123.449,42.39031
-123.4166,44.58335
-121.8735,45.63923
-118.875,45.46571
-121.726,44.42565
-122.1,43.6165
-123.694,45.0608
-123.1611,43.3029
-123.6416,42.24165
-122.475,42.6
-121.6796,45.274
-122.1814,43.3622
-122.0802,43.08929
-118.3692,44.9723
-122.095,44.7679
-121.6384,44.56625
